+----------+---------------+---------------+-------------+--------------------+--------------------+--------------------+
| Borough  |     Zone      | init_location | fare_amount |  overall_avg_fare  |  borough_avg_fare  |   Zone_avg_fare    |
| Queens   | Fresh Meadows | 98            | 11.0        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 45.0        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 48.35       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 27.25       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 4.5         | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 16.2        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 3.5         | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 30.2        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 56.45       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 34.8        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 39.25       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 32.71       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 22.33       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 22.11       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 48.35       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 30.2        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 14.2        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 42.0        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 18.11       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
